,도로명,위도,경도,"아파트,연립다세대",단독주택,노상,백화점,슈퍼마켓,편의점,상점,"시장,노점","숙박업소,목욕탕",유흥접객업소,사무실,공장,창고,유원지,학교,금융기관,의료기관,종교기관,주차장
55679,인헌16가길,37.4691836,126.9681596,,,,,,,,,,,,,,,,,,,
55703,서원2길,37.4778834,126.9321238,,,,,,,,,,,,,,,,,,,
55714,난곡로44길,37.4760178,126.9169094,,,,,,,,,,,,,,,,,,,
55724,법원단지14길,37.4730717,126.9221339,,,,,,,,,,,,,,,,,,,
55725,난곡로35라길,37.4712608,126.9184099,,,,,,,,,,,,,,,,,,,
55729,봉천로15길,37.4886223,126.9316856,,,,,,,,,,,,,,,,,,,
55736,난곡로38길,37.4748856,126.917839,,,,,,,,,,,,,,,,,,,
55738,국회단지19길,37.4899285,126.9414892,,,,,,,,,,,,,,,,,,,
55751,남부순환로161가길,37.4848341,126.9167053,,,,,,,,,,,,,,,,,,,
55752,광신3길,37.4674505,126.9296215,,,,,,,,,,,,,,,,,,,
55780,보라매로3길,37.4914449,126.9258661,,,,,,,,,,,,,,,,,,,
55784,은천로35바길,37.4882931,126.954535,,,,,,,,,,,,,,,,,,,
55785,국회단지11길,37.4889427,126.9403817,,,,,,,,,,,,,,,,,,,
55793,쑥고개로22길,37.4776793,126.9482904,,,,,,,,,,,,,,,,,,,
55794,낙성대역12길,37.4737854,126.963718,,,,,,,,,,,,,,,,,,,
55800,신원로2길,37.4803395,126.9283363,,,,,,,,,,,,,,,,,,,
55821,시흥대로158길,37.4803015,126.9012751,,,,,,,,,,,,,,,,,,,
55822,신림동5길,37.4861049,126.9274631,,,,,,,,,,,,,,,,,,,
55828,신림동9길,37.4863255,126.9247676,,,,,,,,,,,,,,,,,,,
55874,서원3길,37.4769096,126.9337485,,,,,,,,,,,,,,,,,,,
55875,서원5길,37.4765157,126.9336373,,,,,,,,,,,,,,,,,,,
55884,난곡로58길,37.4797922,126.9154191,,,,,,,,,,,,,,,,,,,
55890,서원4길,37.4774557,126.932017,,,,,,,,,,,,,,,,,,,
55915,봉천로2길,37.4894263,126.9224074,,,,,,,,,,,,,,,,,,,
55917,청룡16길,37.4769433,126.9432264,,,,,,,,,,,,,,,,,,,
55936,봉천로53길,37.4819372,126.9545215,,,,,,,,,,,,,,,,,,,
55943,남부순환로216길,37.4806028,126.9492787,,,,,,,,,,,,,,,,,,,
55945,중앙1가길,37.4831203,126.9529582,,,,,,,,,,,,,,,,,,,
55973,양녕로6라길,37.4839603,126.9507984,,,,,,,,,,,,,,,,,,,
55975,양산3길,37.47408,126.9310861,,,,,,,,,,,,,,,,,,,
55995,남부순환로186길,37.4838469,126.9332401,,,,,,,,,,,,,,,,,,,
55996,신림동3길,37.4868299,126.9277741,,,,,,,,,,,,,,,,,,,
55998,신원로3다길,37.4814894,126.9259251,,,,,,,,,,,,,,,,,,,
56011,대학21길,37.465676,126.9384502,,,,,,,,,,,,,,,,,,,
56014,조원로16길,37.4830835,126.9111306,,,,,,,,,,,,,,,,,,,
56060,관악로11가길,37.4776889,126.9487919,,,,,,,,,,,,,,,,,,,
56080,남부순환로237길,37.4801426,126.9610439,,,,,,,,,,,,,,,,,,,
56086,법원단지12길,37.4733328,126.9213359,,,,,,,,,,,,,,,,,,,
56102,신림로43길,37.4769442,126.9338047,,,,,,,,,,,,,,,,,,,
56129,서림1길,37.4755155,126.9402865,,,,,,,,,,,,,,,,,,,
