,road,latitude_road,longitude_road,murder,robber,rape,theft,violence,crime_counts,camera,latitude_camera,longitude_camera,total_p,total_m,total_f,interval,lamp
71,승방9길,37.4721161,126.9786463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
72,법원단지13길,37.4746358,126.9209729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
73,신림로54가길,37.4807156,126.9316339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
74,신림로73길,37.4890875,126.9275597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
75,밤골길,37.4629868,126.931174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
76,양지8길,37.470386,126.9299748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
77,난곡로40길,37.4753436,126.91746299999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
78,난곡로53길,37.4786392,126.91419209999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
79,남부순환로247가길,37.4769568,126.9657145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
80,신림로41길,37.4767942,126.9348311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
81,신림로54길,37.48039620000001,126.9312502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
82,국회단지14길,37.4890727,126.9427214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
83,봉천로21다길,37.4895779,126.9345209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
84,은천로6길,37.48578,126.9390561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
85,승방2길,37.4748441,126.9811258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
86,방천길,37.4733808,126.9326428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
87,신림로18길,37.4715644,126.9363059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.47172852,126.9363487,,,,,
88,양지12길,37.4684917,126.9287645,0.0,0.0,0.0,0.0,0.0,0.0,4.0,37.46893255,126.9289616,,,,,
89,양지16길,37.4702472,126.9307995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
90,양지6길,37.4702166,126.9303997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
