,도로명,총유동인구수,남성유동인구수,여성유동인구수
315,대림로34길,3527298,1779687,1747611
316,대림로31길,4034327,2025253,2009074
317,대림로29길,5578410,2756099,2822312
318,대림로22길,7304677,3442310,3862367
319,당산로46길,2566570,1228511,1338058
320,당산로38길,4091637,1943233,2148404
321,당산로37길,4392185,2103871,2288313
322,당산로31길,3475237,1703270,1771967
323,국회대로56길,2781333,1484750,1296584
324,경인로90길,2044114,1005674,1038439
325,경인로80길,2495993,1248573,1247421
326,경인로77길,2420238,1208896,1211341
327,가마산로61길,4714354,2234357,2479998
328,시흥대로94길,4129383,1990053,2139329
329,시흥대로84길,4620595,2131580,2489016
330,시흥대로68길,4615559,2146099,2469460
331,시흥대로63길,1839629,880345,959284
332,시흥대로62가길,3787548,1770590,2016957
333,시흥대로36길,1235965,588243,647722
334,시흥대로22길,1488975,732551,756424
335,시흥대로153길,3157731,1686207,1471523
336,시흥대로150길,4523464,2254225,2269239
337,시흥대로141길,3419073,1789097,1629975
338,시흥대로138길,2498274,1274053,1224222
339,시흥대로120길,4004607,1973159,2031449
340,벚꽃로56길,2306101,1296836,1009266
341,범안로17길,1632869,873266,759603
342,범안로11길,2036061,1119319,916741
343,문성로5길,4659320,2249458,2409862
344,독산로85길,3127048,1513271,1613776
345,독산로78다길,4627655,2234959,2392696
346,독산로70길,4510805,2192619,2318187
347,독산로64길,3843950,1848393,1995557
348,독산로50길,2166906,982496,1184410
349,독산로40길,3632519,1651351,1981167
350,독산로108길,4538863,2205575,2333288
351,남부순환로112길,3571493,1917600,1653893
352,금하로24길,2658939,1254918,1404022
353,금하로1길,597999,296683,301316
354,금하로14길,2999443,1439090,1560352
355,가산로5길,3189302,1744820,1444482
356,가산로3길,2175078,1222561,952516
357,중앙로1길,2172853,1059389,1113463
358,중앙로15길,3174230,1483792,1690438
359,우마길,4065656,2167406,1898250
360,오류로8길,3514969,1641135,1873834
361,신도림로13길,2188102,1052844,1135259
362,새말로18길,2824995,1383423,1441570
363,부일로1길,901340,431764,469576
364,부일로15길,1870190,872156,998034
365,부일로11길,2007854,925659,1082195
366,디지털로32길,4094355,2210213,1884142
367,디지털로32가길,3997946,2169667,1828279
368,디지털로27길,4308502,2297957,2010547
369,도림로6길,5326682,2755015,2571667
370,도림로12길,5350308,2676269,2674038
371,남부순환로97길,2221990,1058839,1163152
372,구로중앙로8길,5178051,2534615,2643436
373,구로중앙로7길,4859317,2364270,2495048
374,구로중앙로42길,2157240,1054739,1102500
375,구로중앙로34길,3494557,1672605,1821953
376,구로중앙로28길,5067679,2449818,2617861
377,구로중앙로19길,3468897,1653829,1815068
378,구로동로8길,8192134,4099531,4092602
379,구로동로7길,5509445,2846340,2663106
380,구로동로42길,4137286,1990631,2146656
381,구로동로41길,3716909,1791270,1925640
382,구로동로38길,4206282,2012747,2193534
383,구로동로28길,4527790,2177493,2350296
384,구로동로15길,3603496,1846043,1757453
385,공원로6가길,3641064,1766287,1874776
386,고척로52길,3126776,1487435,1639342
387,고척로27다길,4098886,1959091,2139795
388,고척로27길,4565141,2182238,2382902
389,고척로21나길,3958305,1895304,2063000
390,경인로47길,3183784,1540717,1643068
391,경인로35길,3358471,1618640,1739832
392,경인로31길,2920739,1418197,1502541
393,경인로15길,3106228,1479819,1626410
394,개봉로3길,2569057,1217396,1351660
395,개봉로2길,2905161,1346515,1558646
396,개봉로23가길,2603802,1242027,1361773
397,개봉로20길,2682223,1262103,1420120
398,개봉로1길,1646437,789495,856941
399,개봉로17다길,3921366,1813284,2108083
400,개봉로17길,3363555,1554901,1808656
401,개봉로11길,3781437,1752432,2029004
402,화곡로64길,3906948,1844843,2062106
403,화곡로59길,2476923,1180025,1296898
404,화곡로44나길,4653661,2204961,2448701
405,화곡로31길,5930292,2718957,3211336
406,화곡로20길,5716610,2643616,3072995
407,화곡로13길,4279831,1976893,2302938
408,초원로16길,4090596,1975051,2115544
409,초록마을로8길,6411247,2886005,3525243
410,초록마을로3길,5252999,2478941,2774058
411,월정로20길,8722162,4213723,4508438
412,우장산로6길,4769469,2113729,2655740
413,양천로73가길,4839576,2275356,2564220
414,양천로71길,4541819,2129707,2412112
415,양천로49길,1036378,514789,521590
416,양천로26길,1770963,830468,940495
417,양천로24길,4400354,2074445,2325908
418,양천로24가길,4239239,2016813,2222428
419,양천로14길,4314471,2074663,2239809
420,방화대로6라길,1505933,777036,728897
421,방화대로21길,2877757,1436349,1441408
422,등촌로5길,4794172,2187991,2606183
423,등촌로55길,3276478,1519283,1757195
424,등촌로51길,3682754,1696286,1986468
425,등촌로39길,3406068,1563393,1842675
426,등촌로13길,4933258,2242574,2690683
427,남부순환로11길,2829493,1452518,1376976
428,까치산로4길,7660411,3484460,4175951
429,국회대로7길,4848501,2281359,2567142
430,공항대로8길,3019120,1529033,1490088
431,공항대로61길,4698401,2195387,2503013
432,공항대로59다길,5855448,2732132,3123316
433,공항대로59길,4885868,2283296,2602571
434,공항대로55길,3502725,1635688,1867038
435,공항대로42길,2425810,1090544,1335266
436,공항대로38길,1879076,853547,1025529
437,곰달래로60길,4181349,1926636,2254712
438,곰달래로53길,4453600,2007261,2446339
439,곰달래로47길,5045065,2286009,2759056
440,곰달래로31길,6102253,2774676,3327577
441,곰달래로25길,8186392,3751409,4434982
442,개화동로25길,3192625,1557984,1634642
443,개화동로23길,4119125,2006872,2112253
444,강서로8길,9073960,4226543,4847417
445,강서로5라길,4973894,2324358,2649536
446,강서로5나길,9977873,4818063,5159810
447,강서로5가길,11500673,5451820,6048853
448,강서로47라길,4522118,1946800,2575319
449,강서로47길,5191210,2265451,2925759
450,강서로45다길,4769472,2145021,2624451
451,강서로45길,3370394,1491366,1879027
452,강서로35길,5117395,2349127,2768267
453,강서로29길,7356549,3358203,3998345
454,강서로18길,9156827,4132770,5024056
455,강서로17가길,6947681,3171833,3775849
456,강서로15길,14333663,6732508,7601155
457,가로공원로80길,5956405,2677200,3279205
458,가로공원로76가길,6928381,3149490,3778890
459,화곡로4길,2144889,1066399,1078491
460,화곡로3길,1456143,725627,730516
461,지양로7길,1874821,893182,981640
462,중앙로55길,5126556,2419845,2706710
463,중앙로51길,5554445,2561513,2992932
464,중앙로47길,4492555,2140090,2352466
465,중앙로45길,5136710,2417484,2719226
466,중앙로36길,2855807,1340602,1515205
467,중앙로32길,2801554,1283887,1517667
468,중앙로25길,3253512,1547758,1705754
469,은행정로7길,5147494,2424669,2722825
470,은행정로5길,3239207,1510024,1729185
471,오목로5길,5256972,2465061,2791911
472,오목로3길,4877157,2312930,2564227
473,오목로30길,6136203,2880799,3255405
474,오목로23길,6037865,2829306,3208558
475,신월로20길,4264075,2000592,2263482
476,신월로15길,5287406,2446187,2841220
477,신목로6길,5129831,2366387,2763444
478,신목로5길,3202784,1471264,1731520
479,신목로2길,3995147,1847951,2147195
480,목동중앙서로8가길,3339989,1529026,1810963
481,목동중앙서로7길,6061973,2805017,3256957
482,목동중앙북로8길,4664450,2123677,2540773
483,목동중앙북로16길,3825423,1744717,2080705
484,목동중앙본로7길,7332927,3410852,3922077
485,목동중앙로3길,5592911,2643336,2949576
486,목동중앙로13나길,660691,328812,331879
487,목동중앙남로3가길,6096747,2849719,3247027
488,목동로9길,4380848,2024937,2355911
489,목동로19길,4962854,2334978,2627876
490,목동동로8길,1975137,898499,1076638
491,목동동로12길,4628551,2109148,2519403
492,목동남로4길,1913451,883174,1030277
493,남부순환로88길,1576771,738335,838436
494,남부순환로79길,2982769,1407986,1574785
495,남부순환로70길,3126961,1491046,1635915
496,남부순환로58길,2874221,1372938,1501282
497,남부순환로40길,2917387,1397324,1520062
