,도로명,카메라대수,위도,경도,시군구코드
25464, 난곡로26길 69 무궁화공원,1,37.4696018,126.9236499,11620
25465, 관악로15길 21 송학어린이공원,1,37.48046347,126.9491287,11620
25466, 장군봉 7길 15-4 비안어린이공원,1,37.48063484,126.94017120000001,11620
25467, 서원3길 10 서원어린이공원,1,37.47661508,126.93329969999999,11620
25480, 쑥고개로2라길 (쑥고개어린이공원),1,37.47589054,126.94068590000002,11620
25481, 쑥고개로2라길 (쑥고개어린이공원),1,37.47599585,126.94103759999999,11620
25482, 관악로6길 50 백설어린이공원,1,37.47587787,126.95358529999999,11620
25483, 관악로6길 50 백설어린이공원,1,37.47614016,126.95374960000001,11620
25484, 신림로31가길 신화어린이공원,1,37.47697373,126.9355708,11620
25485, 남부순환로200다길 23 봉림어린이공원,1,37.48272379,126.93563,11620
25486, 낙성대역8길 28 약수어린이공원,1,37.47404095,126.96218459999999,11620
25487, 서림3길 47 해태어린이공원,1,37.47250207,126.94046540000001,11620
25488, 서림3길 47 해태어린이공원,1,37.47268706,126.940696,11620
25489, 광신길 154 합실어린이공원,1,37.46508382,126.92686570000001,11620
25490, 광신길 154 합실어린이공원,1,37.4650273,126.9272175,11620
25491, 난우10가길 14-7 미성동공원,1,37.47624854,126.91948390000002,11620
25492, 난우10가길 14-7 미성동공원,1,37.47641056,126.91992379999999,11620
25493, 신림로70길 74 색동공원,1,37.48645833,126.9329445,11620
25494, 승방3나길14 와 승방3가길 10 상록공원,1,37.4729871,126.98021969999999,11620
25495, 승방3나길14 와 승방3가길 10 상록공원,1,37.47286864,126.9803893,11620
25496, 양녕로6다길 11-4 새싹공원,1,37.48438305,126.9497668,11620
25497, 양녕로6다길 11-4 새싹공원,1,37.48457844,126.94953899999999,11620
25498, 인헌3가길 8 밤골공원,1,37.47395933,126.9673659,11620
28660, 남현길 41 예촌어린이공원,1,37.4746172,126.9766191,11620
30206, 대학동 산24-9 동네뒷산공원,1,37.46797618,126.93996229999999,11620
30207, 대학동 산24-9 동네뒷산공원,1,37.46786242,126.940353,11620
30208, 문성로 120-5 문성어린이공원1,1,37.47775617,126.9168432,11620
30209, 난우12길 35-2 문성어린이공원2,1,37.47768841,126.91881969999999,11620
30210, 난우10가길 42 문성어린이공원3,1,37.47772853,126.9197603,11620
30211, 조원동 1661-15 문성어린이소공원,1,37.48190677,126.9028852,11620
30212, 행운동 148-103 장미어린이공원,1,37.47922047,126.96238829999999,11620
30213, 은천동 942-29 선봉어린이공원,1,37.48509822,126.93954609999999,11620
30214, 삼성동 321-5 해바라기어린이공원,1,37.46195671,126.93033190000001,11620
30215, 미성동 1482-1 난우어린이공원,1,37.48019649,126.9141403,11620
30216, 미성동 1563-56 난곡어린이공원,1,37.47403416,126.91525039999999,11620
30217, 낙성대동 산56-3 낙성대지구,1,37.47573517,126.95610309999999,11620
30218, 대학동 산32-23 관악산공원 (야외식물원 주변 둘레길 입구),1,37.46353082,126.948072,11620
30219, 난향동 산105-12 난곡공원,1,37.46575088,126.9172992,11620
30220, 삼성동 산68-2 생태체험길 입구,1,37.46319264,126.93374840000001,11620
30221, 관악로14가길 12(모래내공원1),1,37.47782433,126.95535749999999,11620
30222, 관악로14가길 12(모래내공원2),1,37.47766896,126.95581750000001,11620
30223, 미성동 산 197-3 문성어린이공원4,1,37.47774206,126.91765600000001,11620
30224, 난향동 산 102-12 안전한산책로2,1,37.45766012,126.9185619,11620
30225, 난향동 산 102-12 안전한산책로3,1,37.45750048,126.92043259999998,11620
30226, 낙성대동 291-8 낙성대야외놀이마당,1,37.47393166,126.95997709999999,11620
30227, 낙성대동 287 낙성대야외놀이마당,1,37.47322103,126.9597055,11620
30228, 봉천로23바길 13-25,1,37.4888039,126.93760479999999,11620
30229, 호암로20길 35,1,37.46749117,126.9342243,11620
30230, 호암로20길 84,1,37.4664775,126.93530359999998,11620
30231, 쑥고개로26길 24,1,37.46644889,126.92185729999999,11620
30232, 난곡로661-62,1,37.46520229,126.92081909999999,11620
30233, 남부순환로260길 132 (관악산등산로 입구),1,37.47103675,126.9724201,11620
30234, 남부순환로 55-13(생태육교남쪽),1,37.47521586,126.9708827,11620
33350, 난향길 77 미도공원,1,37.46302346,126.9151922,11620
33351, 난향길 77 미도공원,1,37.46269776,126.9153715,11620
33352, 남부순환로 168길 22 호박골공원,1,37.48189041,126.9240662,11620
33353, 호암로22길 45 태양공원,1,37.46844625,126.93655859999998,11620
33354, 낙성대로 77 낙성대공원 관리사무소,16,37.47201433,126.9596751,11620
33355," 연주대,삼성동 산불감시",1,37.44241172,126.9653313,11620
33356," 모자봉,대학동 산불감시",1,37.45241416,126.94666310000001,11620
33357," 삼성산,삼성동 산불감시",1,37.45032292,126.93423770000001,11620
33358," 서울대,대학동 산불감시",1,37.46242012,126.95609420000001,11620
33359, 쑥고개로3길 7 장군봉소공원,1,37.47815974,126.93896609999999,11620
33360, 성현동 1712-6 상도근린공원1,1,37.49119516,126.95359979999999,11620
33361, 봉천로19길 31 당곡어린이공원,1,37.48869889,126.9335906,11620
